drug_name	drug_id	ind_name	ind_id	NCT	status	phase	DetailedStatus	label	functional_failure	doid_code	doid_name
Naproxen	DB00788	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Prednisolone	DB00860	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Methylprednisolone	DB00959	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Dexamethasone	DB01234	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Cortisone acetate	DB01380	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
golimumab	DB06674	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Certolizumab pegol	DB08904	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Alteplase	DB00009	Acute myocardial infarction	C0155626		Approved			1		DOID:3393	coronary artery disease
Reteplase	DB00015	Acute myocardial infarction	C0155626		Approved			1		DOID:3393	coronary artery disease
Tenecteplase	DB00031	Acute myocardial infarction	C0155626		Approved			1		DOID:3393	coronary artery disease
Salmon Calcitonin	DB00017	Osteitis Deformans	C0029401		Approved			1		DOID:5408	Paget's disease of bone
Pamidronate	DB00282	Osteitis Deformans	C0029401		Approved			1		DOID:5408	Paget's disease of bone
Zoledronic acid	DB00399	Osteitis Deformans	C0029401		Approved			1		DOID:5408	Paget's disease of bone
Alendronic acid	DB00630	Osteitis Deformans	C0029401		Approved			1		DOID:5408	Paget's disease of bone
Risedronate	DB00884	Osteitis Deformans	C0029401		Approved			1		DOID:5408	Paget's disease of bone
Etidronic acid	DB01077	Osteitis Deformans	C0029401		Approved			1		DOID:5408	Paget's disease of bone
Tiludronate	DB01133	Osteitis Deformans	C0029401		Approved			1		DOID:5408	Paget's disease of bone
Asparaginase	DB00023	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Pegaspargase	DB00059	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Vindesine	DB00309	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Betamethasone	DB00443	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Teniposide	DB00444	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Vincristine	DB00541	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Methotrexate	DB00563	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Triamcinolone	DB00620	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Clofarabine	DB00631	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Prednisone	DB00635	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Daunorubicin	DB00694	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Hydrocortisone	DB00741	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Prednisolone	DB00860	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Methylprednisolone	DB00959	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Cytarabine	DB00987	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Doxorubicin	DB00997	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Mercaptopurine	DB01033	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Dexamethasone	DB01234	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Cortisone acetate	DB01380	Acute lymphocytic leukemia	C0023449		Approved			1		DOID:2531	hematologic cancer
Insulin Human	DB00030	Diabetes Mellitus, Insulin-Dependent	C0011854		Approved			1		DOID:9744	type 1 diabetes mellitus
Insulin Lispro	DB00046	Diabetes Mellitus, Insulin-Dependent	C0011854		Approved			1		DOID:9744	type 1 diabetes mellitus
Insulin Glargine	DB00047	Diabetes Mellitus, Insulin-Dependent	C0011854		Approved			1		DOID:9744	type 1 diabetes mellitus
Insulin Human	DB00030	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Insulin Lispro	DB00046	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Insulin Glargine	DB00047	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Glimepiride	DB00222	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Acarbose	DB00284	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Metformin	DB00331	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Miglitol	DB00491	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Chlorpropamide	DB00672	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Nateglinide	DB00731	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Tolazamide	DB00839	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Repaglinide	DB00912	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Glyburide	DB01016	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Glipizide	DB01067	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Gliclazide	DB01120	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Tolbutamide	DB01124	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Pioglitazone	DB01132	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Gliquidone	DB01251	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Mitiglinide	DB01252	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Sitagliptin	DB01261	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Glisoxepide	DB01289	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Glycodiazine	DB01382	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Vildagliptin	DB04876	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Voglibose	DB04878	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Alogliptin	DB06203	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Dapagliflozin	DB06292	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Saxagliptin	DB06335	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Liraglutide	DB06655	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Linagliptin	DB08882	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Canagliflozin	DB08907	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Empagliflozin	DB09038	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Albiglutide	DB09043	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Dulaglutide	DB09045	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Lobeglitazone	DB09198	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Lixisenatide	DB09265	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			1		DOID:9352	type 2 diabetes mellitus
Exenatide	DB01276	Diabetes Mellitus, Non-Insulin-Dependent	C0011860	NCT02020616	Terminated	Phase 1/Phase 2	Lack of Efficacy	0	True	DOID:9352	type 2 diabetes mellitus
Aldesleukin	DB00041	Leukemia, Myelocytic, Acute	C0023467		Approved			1		DOID:2531	hematologic cancer
Gemtuzumab ozogamicin	DB00056	Leukemia, Myelocytic, Acute	C0023467		Approved			1		DOID:2531	hematologic cancer
Tioguanine	DB00352	Leukemia, Myelocytic, Acute	C0023467		Approved			1		DOID:2531	hematologic cancer
Daunorubicin	DB00694	Leukemia, Myelocytic, Acute	C0023467		Approved			1		DOID:2531	hematologic cancer
Cytarabine	DB00987	Leukemia, Myelocytic, Acute	C0023467		Approved			1		DOID:2531	hematologic cancer
Doxorubicin	DB00997	Leukemia, Myelocytic, Acute	C0023467		Approved			1		DOID:2531	hematologic cancer
Idarubicin	DB01177	Leukemia, Myelocytic, Acute	C0023467		Approved			1		DOID:2531	hematologic cancer
Mitoxantrone	DB01204	Leukemia, Myelocytic, Acute	C0023467		Approved			1		DOID:2531	hematologic cancer
Decitabine	DB01262	Leukemia, Myelocytic, Acute	C0023467		Approved			1		DOID:2531	hematologic cancer
Etoposide	DB00773	Leukemia, Myelocytic, Acute	C0023467	NCT00660036	Terminated	Phase 1	due to new safety information	0	True	DOID:2531	hematologic cancer
Tretinoin	DB00755	Leukemia, Myelocytic, Acute	C0023467	NCT01067274	Withdrawn	Phase 3	Study abandoned	0	True	DOID:2531	hematologic cancer
Azacitidine	DB00928	Leukemia, Myelocytic, Acute	C0023467	NCT01067274	Withdrawn	Phase 3	Study abandoned	0	True	DOID:2531	hematologic cancer
Omalizumab	DB00043	Asthma	C0004096		Approved			1		DOID:2841	asthma
Flunisolide	DB00180	Asthma	C0004096		Approved			1		DOID:2841	asthma
Theophylline	DB00277	Asthma	C0004096		Approved			1		DOID:2841	asthma
Norepinephrine	DB00368	Asthma	C0004096		Approved			1		DOID:2841	asthma
Beclomethasone dipropionate	DB00394	Asthma	C0004096		Approved			1		DOID:2841	asthma
Betamethasone	DB00443	Asthma	C0004096		Approved			1		DOID:2841	asthma
Zafirlukast	DB00549	Asthma	C0004096		Approved			1		DOID:2841	asthma
Triamcinolone	DB00620	Asthma	C0004096		Approved			1		DOID:2841	asthma
Prednisone	DB00635	Asthma	C0004096		Approved			1		DOID:2841	asthma
Dyphylline	DB00651	Asthma	C0004096		Approved			1		DOID:2841	asthma
Epinephrine	DB00668	Asthma	C0004096		Approved			1		DOID:2841	asthma
Nedocromil	DB00716	Asthma	C0004096		Approved			1		DOID:2841	asthma
Hydrocortisone	DB00741	Asthma	C0004096		Approved			1		DOID:2841	asthma
Mometasone	DB00764	Asthma	C0004096		Approved			1		DOID:2841	asthma
Orciprenaline	DB00816	Asthma	C0004096		Approved			1		DOID:2841	asthma
Prednisolone	DB00860	Asthma	C0004096		Approved			1		DOID:2841	asthma
Terbutaline	DB00871	Asthma	C0004096		Approved			1		DOID:2841	asthma
Pemirolast	DB00885	Asthma	C0004096		Approved			1		DOID:2841	asthma
Methylprednisolone	DB00959	Asthma	C0004096		Approved			1		DOID:2841	asthma
Cromoglicic acid	DB01003	Asthma	C0004096		Approved			1		DOID:2841	asthma
Budesonide	DB01222	Asthma	C0004096		Approved			1		DOID:2841	asthma
Aminophylline	DB01223	Asthma	C0004096		Approved			1		DOID:2841	asthma
Dexamethasone	DB01234	Asthma	C0004096		Approved			1		DOID:2841	asthma
Desonide	DB01260	Asthma	C0004096		Approved			1		DOID:2841	asthma
Pirbuterol	DB01291	Asthma	C0004096		Approved			1		DOID:2841	asthma
Cortisone acetate	DB01380	Asthma	C0004096		Approved			1		DOID:2841	asthma
Tiotropium	DB01409	Asthma	C0004096		Approved			1		DOID:2841	asthma
Ciclesonide	DB01410	Asthma	C0004096		Approved			1		DOID:2841	asthma
Pranlukast	DB01411	Asthma	C0004096		Approved			1		DOID:2841	asthma
Ibudilast	DB05266	Asthma	C0004096		Approved			1		DOID:2841	asthma
Tranilast	DB07615	Asthma	C0004096		Approved			1		DOID:2841	asthma
Fluticasone furoate	DB08906	Asthma	C0004096		Approved			1		DOID:2841	asthma
Vilanterol	DB09082	Asthma	C0004096		Approved			1		DOID:2841	asthma
Adalimumab	DB00051	Ulcerative Colitis	C0009324		Approved			1		DOID:8577	ulcerative colitis
Infliximab	DB00065	Ulcerative Colitis	C0009324		Approved			1		DOID:8577	ulcerative colitis
Mesalazine	DB00244	Ulcerative Colitis	C0009324		Approved			1		DOID:8577	ulcerative colitis
Sulfadiazine	DB00359	Ulcerative Colitis	C0009324		Approved			1		DOID:8577	ulcerative colitis
Hydrocortisone	DB00741	Ulcerative Colitis	C0009324		Approved			1		DOID:8577	ulcerative colitis
Sulfasalazine	DB00795	Ulcerative Colitis	C0009324		Approved			1		DOID:8577	ulcerative colitis
Prednisolone	DB00860	Ulcerative Colitis	C0009324		Approved			1		DOID:8577	ulcerative colitis
